Tienda;SKU;Código de Barras;Producto;Stock Mínimo (Base);Existencia Actual
"Américas";"YAD36";"8809340386285";"YADAH CLEANSING BALM MINI 3ML";0;0
"Américas";"YAD27";"8809340386056";"YADAH GREEN TEA CLEANSING";8;8
"Américas";"YAD28";"8809340385943";"YADAH GREEN TEA PEELING";12;12
"Américas";"YAD31";"8809340386292";"YADAH GREEN VITA C SERUM ";5;5
"Américas";"YAD29";"8809340385929";"YADAH SNAIL CLEANSER";6;6
"Américas";"YAD30";"8809340385936";"YADAH SNAIL CREAM";6;5
"Madero";"KOC02";"8809328325329";" KOC02 * SLICE STRAWBERRY (6pcs)";10;10
"Madero";"BAN01";"1000000300001";"BANDITA CABELLO SKIN & B";5;5
"Madero";"YAD19";"8809340386568";"CACTUS LIP BALM.(01). VANILLA";10;10
"Madero";"YAD20";"8809340386575";"CACTUS LIP BALM.(02). PEACH";12;12
"Madero";"YAD21";"8809340386582";"CACTUS LIP BALM.(03). STRAWBERRY ";12;10
"Madero";"YAD22";"8809340386599";"CACTUS LIP BALM.(04). CHERRY";12;12
"Madero";"YAD00";"";"CACTUS SOOTHING GEL 15ML";0;0
"Madero";"YAD11";"8809340385349";"CACTUS SOOTHING GEL 250ML";6;6
"Madero";"CEN02";"8809576260601";"CENTELLA AMPOULE";4;5
"Madero";"CEN05";"8809576261110";"Centella Light Cleansing Oil";0;2
"Madero";"CEN01";"8809913830115";"CENTELLA POREMIZING AMPOULE";4;4
"Madero";"CEN04";"8809576261462";"CENTELLA POREMIZING AMPOULE 100ML";2;2
"Madero";"CEN03";"8809913830085";"Centella Poremizing Clay Stick";5;4
"Madero";"YAD16";"8809340384373";"CHARCOAL CLEANSING NOSE PACK";5;5
"Madero";"YAD17";"8809340384465";"GREEN TEA PURE CLEANSING BALM";8;8
"Madero";"HAR11";"8809532221943";"HARU CENTELLA PEPTIDE CREAM REFIL";6;6
"Madero";"HAR03";"8809532221707";"HARUHARU AIRYFIT SUNSCREEN";12;12
"Madero";"HAR05";"8809532221523";"HARUHARU BAKUCHIOL EYE CREAM";12;11
"Madero";"HAR13";"8809532221929";"HARUHARU BAMBOO DAILY SUNSHIELD";12;12
"Madero";"HAR09";"8809532221813";"haruharu Centella 4% TXA Spot Serum";10;9
"Madero";"HAR10";"8809532221790";"HARUHARU CENTELLA PEPTIDE CREAM";10;10
"Madero";"HAR04";"8809532221691";"HARUHARU MINERAL RELIEF SUNSCREEN";12;12
"Madero";"HAR01";"8809532221721";"HARUHARU RICE HYALURONIC CREAM";10;9
"Madero";"HAR02";"8809532221462";"HARUHARU RICE HYALURONIC TONER";10;10
"Madero";"HAR06";"8809532221356";"HARUHARU RICE SOFT CLEANSING GEL";10;10
"Madero";"HAR12";"8809532221783";"HARUHARU TRIPLE AHA CLEANSING GEL";10;10
"Madero";"KOC16";"8809328324049";"Koc Waffle Mask Honey";15;13
"Madero";"KOC12";"8809328324001";"Koc Waffle Mask Strawberry";15;13
"Madero";"KOC28";"8809328325190";"KOCOSTAR COLLAGEN MASK";20;23
"Madero";"KOC10";"8809328320287";"KOCOSTAR FOOT PACK PURPLE";15;14
"Madero";"KOC09";"8809328320270";"KOCOSTAR FOOT PACK YELLOW";15;13
"Madero";"KOC08";"8809328320256";"KOCOSTAR HAND PACK MINT";4;0
"Madero";"KOC07";"8809328320232";"KOCOSTAR HAND PACK PURPLE";15;21
"Madero";"KOC06";"8809328320218";"KOCOSTAR HAND PACK YELLOW";15;15
"Madero";"KOC29";"8809328325183";"KOCOSTAR HYALURONIC MASK";15;10
"Madero";"KOC31";"8809328326418";"KOCOSTAR RETINOL MASK";15;10
"Madero";"KOC30";"8809328325213";"KOCOSTAR TEA TREE MASK";15;21
"Madero";"HAR14";"";"Mini Haru Hyaluronic Toner (10ml)";0;0
"Madero";"JAD01";"1000000200001";"MINI JADE ROLLER MOUNT L";3;3
"Madero";"KOC27";"8809328325312";"PEACH DUO DUO";5;5
"Madero";"KOC32";"8809328325282";"PREMIUM FOOT PEELING PACK";15;18
"Madero";"KOC17";"8809328320058";"Princess Eye Patch Gold (tarro)";12;9
"Madero";"KOC18";"8809328321338";"Princess EyePatch Gold Sachet";20;20
"Madero";"PUR02";"8809563103706";"Purito BB Cream Natural Beige #23";0;4
"Madero";"PUR01";"8809563103683";"Purito BB Cream Rose Ivory #15";0;3
"Madero";"PUR03";"8809563103713";"Purito BB Cream Sand Beige #27";0;4
"Madero";"KOC22";"8809328325558";"ROMANTIC ROSE LIP MASK TARRO";6;6
"Madero";"HAR15";"";"Sachet haru 5.5 Cleansing Gel (2ml)";0;0
"Madero";"HAR07";"";"SACHET HARUHARU AIRYFIT SUNSCREEN";0;0
"Madero";"HAR16";"";"SACHET HARUHARU BAKUCHIOL EYE CREAM";0;0
"Madero";"HAR08";"";"SACHET HARUHARU MINERAL SUNSCREEN";0;0
"Madero";"KOC01";"8809328325367";"SLICE CUCUMBER (6pcs)";15;18
"Madero";"YAD02";"8809340380023";"YAD ANTI-T BUBBLE CLEANSER";10;10
"Madero";"YAD04";"8809340380313";"YAD ANTI-T EMULSION";10;9
"Madero";"YAD03";"8809340380306";"YAD ANTI-T TONER";10;10
"Madero";"YAD12";"8809340383390";"YADAH BE MY TINT 01 WANN";8;5
"Madero";"YAD13";"8809340383406";"YADAH BE MY TINT 02 PEAC";12;9
"Madero";"YAD14";"8809340383413";"YADAH BE MY TINT 03 REAL";12;6
"Madero";"YAD18";"8809340385080";"YADAH CACTUS CREAM";6;6
